experiment,calibrator,position,operating_point,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
resnet18,beta,post_ensemble,B_calibrated_oof_threshold,0.9377296128832183,0.9488669950738916,0.9276675918863335,0.23759327801281666,1.2020450554486937,0.27571582829460295,0.275720459232644,0.5938020811857643,-3.609812913499214,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,beta,post_ensemble,C_calibrated_half,0.5,0.9488669950738916,0.9276675918863335,0.23759327801281666,1.2020450554486937,0.27571582829460295,0.275720459232644,0.5938020811857643,-3.609812913499214,0.9950738916256158,0.4533333333333333,102,123,1,202
resnet18,beta,pre_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9490311986863711,0.9293176906111589,0.22780744704854833,1.23001780042897,0.26366191541710987,0.26366348884761676,0.5788392391365846,-3.699690220714999,0.9950738916256158,0.6533333333333333,147,78,1,202
resnet18,beta,pre_ensemble,B_calibrated_oof_threshold,0.9377296128832183,0.9490311986863711,0.9293176906111589,0.22780744704854833,1.23001780042897,0.26366191541710987,0.26366348884761676,0.5788392391365846,-3.699690220714999,0.9950738916256158,0.6844444444444444,154,71,1,202
resnet18,beta,pre_ensemble,C_calibrated_half,0.5,0.9490311986863711,0.9293176906111589,0.22780744704854833,1.23001780042897,0.26366191541710987,0.26366348884761676,0.5788392391365846,-3.699690220714999,0.9950738916256158,0.48444444444444446,109,116,1,202
resnet18,isotonic,post_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9151395730706074,0.8455803933919721,0.23713313712967915,1.8021223863330902,0.275075018357016,0.2750750576093523,0.2929440083087797,-2.89886081079175,0.9950738916256158,0.6311111111111111,142,83,1,202
resnet18,isotonic,post_ensemble,B_calibrated_oof_threshold,0.9375,0.9151395730706074,0.8455803933919721,0.23713313712967915,1.8021223863330902,0.275075018357016,0.2750750576093523,0.2929440083087797,-2.89886081079175,0.9950738916256158,0.6311111111111111,142,83,1,202
resnet18,isotonic,post_ensemble,C_calibrated_half,0.5,0.9151395730706074,0.8455803933919721,0.23713313712967915,1.8021223863330902,0.275075018357016,0.2750750576093523,0.2929440083087797,-2.89886081079175,1.0,0.41333333333333333,93,132,0,203
resnet18,isotonic,pre_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9065353037766831,0.8341892734571927,0.23028522723082132,1.9406943351033858,0.2658263275798841,0.2658705473166805,0.27023977800405463,-2.6537158761586355,0.9950738916256158,0.6622222222222223,149,76,1,202
resnet18,isotonic,pre_ensemble,B_calibrated_oof_threshold,0.9375,0.9065353037766831,0.8341892734571927,0.23028522723082132,1.9406943351033858,0.2658263275798841,0.2658705473166805,0.27023977800405463,-2.6537158761586355,0.9901477832512315,0.68,153,72,2,201
resnet18,isotonic,pre_ensemble,C_calibrated_half,0.5,0.9065353037766831,0.8341892734571927,0.23028522723082132,1.9406943351033858,0.2658263275798841,0.2658705473166805,0.27023977800405463,-2.6537158761586355,0.9950738916256158,0.48,108,117,1,202
stretch_nhe,raw,post_ensemble,A_raw_oof_threshold,0.8309692740440369,0.9669184455391353,0.9470995699313709,0.1489190337515574,0.6565665807372018,0.18356098408790777,0.18487368846572794,0.6317426372536592,-2.7460556503165456,0.9901477832512315,0.7644444444444445,172,53,2,201
